Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000008282,3877.528912,-0.068732553,0.083457269,-0.823565812,0.410186308,0.673626718
ENSG00000008283,969.0862661,0.260539909,0.100345829,2.596419928,0.009420086,0.071416298
ENSG00000008294,18996.39873,-0.153298454,0.055763279,-2.749093221,0.005976039,0.051662044
ENSG00000008300,1158.9764,0.462542258,0.189545804,2.440266414,0.014676434,0.095611222
ENSG00000008311,4557.947547,0.268007027,0.110267729,2.430511906,0.015077511,0.09722733
ENSG00000008323,2855.158017,0.118837274,0.118365666,1.003984332,0.315386166,0.590924911
ENSG00000008324,447.3533288,-0.143366733,0.123675076,-1.159220902,0.246366153,0.519427337
ENSG00000008382,865.2438454,0.036840675,0.088132336,0.418015416,0.675935846,0.850778229
ENSG00000008394,5072.471551,-0.203199951,0.132878432,-1.529216956,0.126210668,0.358743591
ENSG00000008405,2279.704319,0.212474844,0.09955871,2.134166301,0.03282917,0.162443395
ENSG00000008441,230.6993547,0.483462223,0.271866552,1.778307112,0.075353429,0.265875268
ENSG00000008513,4443.468771,0.240916829,0.250369038,0.962246894,0.335925598,0.610942811
ENSG00000008516,60.54156542,0.572033268,0.234827152,2.435975835,0.014851677,0.096433212
ENSG00000008517,11691.24158,0.246484112,0.154070307,1.599815801,0.109639452,0.331145877
ENSG00000008710,4578.165678,0.155281514,0.150447274,1.032132455,0.302010072,0.579063584
ENSG00000008735,198.1342467,0.441920658,0.26949801,1.639791919,0.101048439,0.31411277
ENSG00000008838,4280.198853,-0.041975091,0.073608035,-0.570251477,0.568507147,0.786895743
ENSG00000008853,2066.154962,0.024208909,0.104156842,0.232427454,0.816206028,0.924729453
ENSG00000008869,2617.452146,-0.2074662,0.084802153,-2.446473253,0.01442615,0.09450624
ENSG00000008952,6972.464237,0.054251302,0.096282358,0.563460461,0.573121377,0.790156446
ENSG00000008988,17978.53704,-0.041258992,0.079982643,-0.515849314,0.605959657,0.810721372
ENSG00000009307,39304.68349,-0.123209568,0.065769279,-1.873360474,0.061018624,0.234847997
ENSG00000009335,6797.300261,0.100454812,0.058128684,1.728145304,0.083962177,0.282987745
ENSG00000009413,2321.512996,-0.491041556,0.162280021,-3.025890381,0.002479022,0.02855596
ENSG00000009694,443.6912714,-0.158692306,0.219725233,-0.722230687,0.470152659,0.717554862
ENSG00000009765,332.8903262,0.145410698,0.290739411,0.500140994,0.616975802,0.818064891
ENSG00000009780,324.4293428,0.185039501,0.182132472,1.015961073,0.309647924,0.585503058
ENSG00000009830,3246.679701,0.39464374,0.136374711,2.893819069,0.003805874,0.038236604
ENSG00000009844,3143.128859,-0.129536396,0.098619413,-1.313497941,0.189015214,0.452451778
ENSG00000009950,958.9547072,-0.00801389,0.234086369,-0.034234758,0.97268995,0.989569189
ENSG00000009954,8713.799738,-0.045003716,0.042314955,-1.06354163,0.287536397,0.563260824
ENSG00000010017,4703.062504,0.04346749,0.064640592,0.672448825,0.501298009,0.740982188
ENSG00000010030,65.7756196,0.414313826,0.352715894,1.174638947,0.240139195,0.512413735
ENSG00000010072,850.5125292,0.273911256,0.2421269,1.131271478,0.257940845,0.532805575
ENSG00000010165,1661.420062,-0.01276815,0.108377332,-0.117811998,0.906216623,0.962592166
ENSG00000010219,490.775844,0.375012521,0.156239326,2.400244094,0.016384142,0.102939527
ENSG00000010244,9312.020604,0.007964722,0.071049036,0.112101764,0.910742719,0.964643377
ENSG00000010256,5101.350002,0.067804857,0.070197843,0.965910839,0.334088798,0.6090609
ENSG00000010270,2555.324518,0.029855312,0.058627187,0.509240055,0.61058397,0.814033357
ENSG00000010278,2449.575794,0.142475284,0.114146093,1.248183623,0.21196382,0.478660172
ENSG00000010292,2822.333521,-0.160579475,0.13525578,-1.187228189,0.235137625,0.507310769
ENSG00000010295,303.5118072,0.338494778,0.171665795,1.971824247,0.048629673,0.205815845
ENSG00000010310,179.0750542,0.349194402,0.221123512,1.5791826,0.11429418,0.338737553
ENSG00000010318,130.2940975,-0.168216091,0.181523796,-0.926688924,0.35408807,0.627968734
ENSG00000010319,24.56787128,0.826811359,0.473653607,1.745603423,0.080879887,0.275882207
ENSG00000010322,9334.780987,0.038994228,0.093224971,0.41828094,0.675741723,0.850778229
