Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000008516,60.54156542,-0.012655027,0.247817892,-0.051065832,0.959273063,0.994060185
ENSG00000008517,11691.24158,0.120981368,0.154146539,0.784846475,0.432543587,0.901908438
ENSG00000008710,4578.165678,0.087814112,0.150717915,0.582638845,0.560136449,0.934385151
ENSG00000008735,198.1342467,0.197699401,0.272873541,0.724509238,0.468753158,0.907889845
ENSG00000008838,4280.198853,-0.144527913,0.07391768,-1.955254997,0.05055298,0.609442997
ENSG00000008853,2066.154962,0.136091795,0.104366608,1.303978323,0.192240973,0.795429099
ENSG00000008869,2617.452146,0.027512993,0.08490344,0.324050394,0.745899882,0.967282561
ENSG00000008952,6972.464237,0.097011755,0.096337863,1.006995091,0.313937133,0.858200775
ENSG00000008988,17978.53704,-0.05864304,0.08004103,-0.732662235,0.463764463,0.906622303
ENSG00000009307,39304.68349,-0.04358997,0.065786898,-0.662593488,0.507590942,0.920291365
ENSG00000009335,6797.300261,0.132998808,0.058277309,2.282171394,0.022479223,0.483086876
ENSG00000009413,2321.512996,-0.041346251,0.162233454,-0.254856504,0.798833932,0.9743029
ENSG00000009694,443.6912714,0.014311341,0.220159681,0.065004368,0.948170522,0.992589313
ENSG00000009765,332.8903262,0.069774921,0.292159034,0.238825134,0.81124118,0.976545467
ENSG00000009780,324.4293428,0.123492394,0.182847647,0.675384098,0.499431766,0.918625683
ENSG00000009830,3246.679701,0.114788801,0.136660039,0.839958789,0.400931493,0.894189772
ENSG00000009844,3143.128859,0.07304428,0.098682068,0.740198114,0.459179792,0.906622303
ENSG00000009950,958.9547072,-0.076734523,0.234375141,-0.327400433,0.743365039,0.967282561
ENSG00000009954,8713.799738,0.01871348,0.042460878,0.440722863,0.659413642,0.951204262
ENSG00000010017,4703.062504,0.050693876,0.064826509,0.781992998,0.434218688,0.901908438
ENSG00000010030,65.7756196,0.095828807,0.359177002,0.266801065,0.789622334,0.973573603
ENSG00000010072,850.5125292,-0.096134117,0.242241769,-0.396851943,0.691476644,0.958116055
ENSG00000010165,1661.420062,-0.157620871,0.108785152,-1.448918979,0.14736021,0.752238018
ENSG00000010219,490.775844,0.164865199,0.157881094,1.044236491,0.296375988,0.849795912
