Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000012983,3670.991489,-0.004341347,0.092857341,-0.046752865,0.962710196,0.986391667
ENSG00000013016,1019.09113,0.20290267,0.136655776,1.484772001,0.137604231,0.365338545
ENSG00000013275,4164.564036,0.268434316,0.06785511,3.955992643,7.62E-05,0.001438915
ENSG00000013288,2677.689756,-0.015873294,0.057778666,-0.274725865,0.783526858,0.90785121
ENSG00000013297,166.8796774,0.244147058,0.192584518,1.267739795,0.204890888,0.463992918
ENSG00000013306,6411.817737,-0.108716205,0.075608477,-1.4378838,0.150467027,0.387247333
ENSG00000013364,5650.082083,0.04556223,0.132595853,0.343617309,0.731134106,0.8817371
ENSG00000013374,3367.600683,0.113784073,0.077406151,1.469961644,0.141572142,0.372044941
ENSG00000013375,18597.52345,0.06527934,0.072415408,0.901456505,0.36734565,0.635872171
ENSG00000013392,948.8486909,-0.079683884,0.083909337,-0.949642633,0.342293868,0.612718557
ENSG00000013441,2596.109881,0.110122745,0.098855581,1.113976001,0.265289482,0.535630668
ENSG00000013503,1054.019389,-0.035580114,0.084668655,-0.4202277,0.674319121,0.852455005
ENSG00000013523,440.4383071,-0.107167245,0.165206995,-0.648684671,0.516542214,0.750939464
ENSG00000013561,2739.350657,-0.013093141,0.115412711,-0.113446262,0.909676765,0.964283324
ENSG00000013563,2784.933216,0.407053238,0.075964621,5.358458114,8.39E-08,4.78E-06
ENSG00000013573,472.0530208,-0.277594148,0.124843148,-2.223543318,0.026179186,0.123653886
ENSG00000013583,2647.178375,0.248071761,0.059420522,4.174849907,2.98E-05,0.000647119
